country,population,averageAge,birthRate,mortality,migration,undernourish,cornProduction,cornExports,cornImports,cornLand,wheatProduction,wheatExports,wheatImports,wheatLand,riceProduction,riceExports,riceImports,riceLand,soyProduction,soyExports,soyImports,soyLand,otherProduction,otherExports,otherImports,otherLand,landArea,arableOpen,organic,conventional,gmo
Palau,21186,33,10,7,0,10,41.68076779,0,1902.460722,0.160310645,0,0,0,0,0,0,1748,0,0,0,0,0,28481.36202,3521.464367,3467.366298,94.8072466,460,40,0,1,0
Panama,3926017,28,18,4,0,9,85000,0,400000,500,0,0,136671,0,150000,42,72395,850,92,2,5604,2.79,4602835.767,569099.2631,560356.5448,15321.67546,74340,5517,0.0021,0.9979,0
Papua New Guinea,7476108,26,24,6,0,10,42121.23704,0,300,22,0,0,165644,0,0,0,8450,0,0,0,0,0,28039281.75,3466805.116,3413546.743,93335.67325,452860,2219,0.0103,0.9897,0
Paraguay,6917579,26,16,4,0,22,3080000,2000000,15000,7000,1430000,737803,166,5781.36,536000,438983,1337,1300,8309793,5029412,20736,28054.67,24599228.55,3041473.463,2994749.196,81884.60668,397300,29678,0.0024,0.109217312,0.888382688
Peru,30769077,27,18,5,-2,12,1800000,10000,2300000,5500,230105,108,1683702,1503.61,2100000,29869,175761,4000,2994,274,79848,16.55,79252485.63,9798857.369,9648323.612,263811.4688,1280000,28800,0.0092,0.9908,0
Philippines,100096496,23,24,4,-1,16,7900000,100000,600000,26250,0,0,2766569,0,12200000,2940,404701,48900,684,2298,52162,5.17,18461495.03,2282597.892,2247531.759,61453.64504,298170,56652,0.0068,0.918642684,0.074557316
Poland,38220543,39,9,10,0,5,4000000,505587.8597,475000,6044.934774,9469500,825288,816653,21578.33,0,17803,126614,0,331,3200,26206,2.08,18959918.87,2344223.518,2308210.669,63112.77186,306220,122545,0.0428,0.9572,0
Portugal,10610304,41,9,10,2,5,8408.139339,1062.763293,50000,12.70666347,88000,35678,1256394,495.31,0,75145,110899,0,0,14344,642522,0,5670886.843,701154.1769,690382.781,18876.94721,91590,15898,0.0597,0.912583814,0.027716186
Qatar,2267916,32,9,1,27,15,1040.836116,0,4000,1,50,10,126016,0.18,0,0,155000,0,0,0,0,0,718844.8111,88878.69848,87513.31026,2392.852463,11610,188,0,1,0
Republic of Korea,49512026,40,8,6,0,32,78000,0,9600000,160,27130,2,4680842,99.61,4241000,2000,450000,8160,129394,2363,1148474,778.49,6012044.027,743335.1957,731915.799,20012.57314,97100,16280,0.0137,0.9863,0
Republic of Macedonia,2108434,36,11,9,0,2.5,119000,0,100000,300,258960,93,66187,790.9,0,0,50,0,840,0,332,5.28,1561521.631,193068.1116,190102.1262,5197.910346,25220,5471,0.0119,0.9881,0
Republic of Moldova,3461380,35,12,12,-9,5,1300000,200000,5000,4500,1008647,70234,335,3272.18,0,0,10050,0,78721,53096,105,576.62,2034559.905,251555.0415,247690.5577,6772.535051,32860,18194,0.0089,0.9911,0
Romania,21640168,39,9,11,0,5,11500000,1453565.097,93000,17379.18747,7296373,1568735,559139,20118.4,72500,24727,47480,129000,142636,72716,34464,718.61,14241919.33,1760885.291,1733833.904,47407.74535,230020,90961,0.021,0.973702829,0.005297171
Russian Federation,142467651,38,11,13,1,5,11500000,2500000,50000,26000,52090797,15185953,120143,231616.03,680000,167911,247478,1950,1756010,4757,896149,11874,1013990355,125370791.6,123444798.1,3375317.288,16376870,1174284,0.0007,0.9993,0
Rwanda,12100049,18,34,9,0,30,480000,0,1071057.011,2500,70129,186,82745,381.66,0,16359,63419,0,37426,7,474,479.81,1527467.829,188857.6651,185956.3621,5084.553856,24670,11366,0.0019,0.9981,0
Saint Kitts and Nevis,51300,33,13,7,1,0.102,23.75257728,0,6000,0.079175258,0,0,0,0,0,0,584,0,0,0,3,0,10897.21677,1347.342888,1326.644497,36.27407696,176,51,0,1,0
Saint Lucia,183598,32,13,7,-3,0.122,56.05972262,0,70,0.26695106,0,0,0,0,0,0,2275,0,0,0,3,0,38202.17471,4723.355466,4650.793491,127.1653721,617,39,0,1,0
Saint Vincent and the Grenadines,109371,31,13,7,-9,0.055,35.40135081,0,3000,0.35,0,0,0,0,0,0,7314,0,0,0,1204,0,24085.32571,2977.933997,2932.185848,80.17395419,389,70,0,1,0
Samoa,191831,23,21,5,-10,5,267.9217912,0,30,0.893072637,0,0,0,0,0,83,115644,0,0,0,66,0,175222.2925,21664.66121,21331.84049,583.2706693,2830,620,0,1,0
San Marino,32742,43,8,8,8,1,5.551368636,0,0,0.007163056,0,0,0,0,0,0,50,0,0,0,0,0,3714.960264,459.3214392,452.2651693,12.3661626,60,10,0,1,0
Sao Tome and Principe,197882,17,13,7,-8,7.2,91.09704926,0,20,13.5,0,0,1,0,0,350,8427,0,0,0,0,0,59439.36422,7349.143026,7236.242709,197.8586016,960,83,0.0723,0.9277,0
Saudi Arabia,29369428,26,18,3,0,5,80000,0,3500000,160,600000,2773,2066573,1576.06,0,11773,1325000,0,0,59,614806,0,133100215.5,16456645.08,16203831.86,443056.9347,2149690,35900,0.0001,0.9999,0
Senegal,14548171,18,35,8,-1,22,200000,0,150000,1750,0,500,429542,0,289000,88173,1123841,1300,0,0,5503,0,11920688.33,1473885.945,1451243.551,39680.95476,192530,24019,0.0007,0.9993,0
Serbia,9468378,41,9,13,0,15,6850000,2500000,10000,12750,2690266,323419,1099,5123.16,0,418,11832,0,440847,71201,5063,1652.53,5415173.745,669537.5511,659251.8618,18025.74302,87460,28882,0.0013,0.9987,0
Seychelles,93306,33,14,8,1,8.3,41.40774966,0,2000,0.159260576,0,0,0,0,0,0,8464,0,0,0,0,0,28481.36202,3521.464367,3467.366298,94.8072466,460,10,0,1,0
Sierra Leone,6205382,19,37,11,3,29,35000,0,0,350,0,0,13977,0,693000,0,220000,6250,0,0,0,0,4469097.198,552563.6913,544074.9987,14876.49361,72180,5694,0,1,0
Singapore,5517102,33,8,3,14,3,63.06718795,0,60000,0.15766797,0,233,170308,0,0,137580,431283,0,0,0,0,0,43341.20308,5358.750123,5276.426975,144.271897,700,10,0,1,0
Slovakia,5454154,39,10,9,0,5,1120000,141564.6007,200000,1692.581737,1684274,274902,120054,3728.91,0,5108,28726,0,36921,10257,13102,196.67,3036051.276,375380.4461,369613.7096,10106.24638,49035,14264,0,0.964576691,0.035423309
Slovenia,2075592,43,8,11,0,5,1844.965514,233.1980414,250000,2.788174048,138235,17578,155870,320.03,0,1733,8718,0,292,334084,339038,1.07,1246988.329,154178.8964,151810.3418,4150.908579,20140,1719,0.076,0.924,0
Solomon Islands,572865,21,26,3,-1,13,2589.12193,0,36,8.352006224,0,0,80700,0,0,51,7906,0,0,0,25,0,1733028.963,214273.4514,210981.7015,5768.814853,27990,171,0.0156,0.9844,0
Somalia,10805651,17,40,13,-9,13,116000,0,5000,2200,1000,0,9207,0,0,0,0,0,0,0,0,0,38842386.2,4802511.861,4728733.855,129296.4741,627340,10288,0,1,0
South Africa,53139528,25,18,17,-6,5,11500000,2500000,25000,32000,1879000,21401,1849581,5385.67,0,117981,910522,0,710000,42528,1930,4180,75109685.78,9286637.41,9143972.571,250021.1365,1213090,147609,0.0004,0.782662831,0.216937169
South Sudan,11738718,16,37,8,11,11,130000,0,1027718.05,590.9090909,0,0,0,0,0,0,50,0,0,0,0,0,15403215.91,1904469.172,1875211.996,51273.40778,248776,532980,0,1,0
Spain,47066402,41,9,9,7,5,4925700,622593.5302,4800000,7443.883804,7602600,567885,3401481,19584.84,867700,265576,106807,1108000,1700,2985,3177896,7,30883702.99,3818492.231,3759831.108,102804.0317,498800,135776,0.064,0.930114878,0.005885122
Sri Lanka,21445775,31,16,6,-1,23,5970.906496,0,8000,677.2,0,0,986223,0,2700000,10155,19301,11000,3840,51,17,24.5,3882752.636,480067.4575,472692.4795,12924.70094,62710,9038,0.0075,0.9925,0
Sudan,38764090,19,30,7,-4,0,171643.5859,0,103000,268.8,265000,40,1619474,1685.6,0,0,40576,0,0,0,158,0,147112426.5,18189128.99,17909700.71,489700.039,2376000,135600,0.0004,0.993794485,0.005805515
Suriname,543925,28,16,6,0,10,14858.55668,0,21000,0.19,0,0,0,0,158000,35000,399,650,11,0,174,0.13,9658896.686,1194235.742,1175889.44,32152.02276,156000,581,0,1,0
Swaziland,1267704,21,25,13,0,36,85000,0,75000,600,720,0,35000,3.46,0,0,22861,0,0,190,523,0,1064955.276,131672.1459,129649.3485,3544.966612,17200,1763,0.00001,0.99999,0
Sweden,9631261,41,11,9,5,5,40949.44323,5175.88534,18000,61.88417834,1868600,406748,258815,3698.11,0,1454,61734,0,0,293,20217,0,25220865.23,3118333.25,3070428.235,83953.87789,407340,24368,0.1558,0.8442,0
Switzerland,8157896,42,10,8,5,3,147000,0,100000,160,479659,709,462047,888.07,0,2509,128062,0,3300,150,20683,11.23,2446672.83,302509.0998,297861.8405,8144.354688,39516,3941,0.1198,0.8802,0
Syrian Arab Republic,21986615,23,22,6,-113,6,80000,0,400000,500,3182111,3,540494,14946.17,0,0,200000,0,2225,0,341606,13.1,11369635.89,1405753.265,1384157.551,37846.64064,183630,45644,0.0014,0.9986,0
Tajikistan,8408947,23,24,6,-1,30,80000,0,5000,250,780000,100,442500,3106.19,0,0,50,0,36,0,0,1.354,8665763.976,1071443.81,1054983.885,28846.13529,139960,9304,0.0027,0.9973,0
Thailand,67222972,36,11,7,0,6,5062828,100000,600000,11000,1500,11,1426210,11.55,19500000,6612620,25024,105000,176152,9825,1997442,897.33,31632267.49,3911045.501,3850962.539,105295.8135,510890,140941,0.0018,0.9982,0
Timor-Leste,1152439,18,34,6,-3,38,4900000,0,4000,700,0,0,0,0,0,0,89354,0,1554,0,0,9.62,920690.9854,113835.1633,112086.3845,3064.747298,14870,1231,0.0658,0.9342,0
Togo,6993244,19,34,7,0,16,700000,0,5000,6000,0,0,69690,0,90000,76,147771,550,1100,289,10,27,3367611.479,416374.8846,409978.376,11209.9264,54390,24038,0.0012,0.9988,0
Tonga,105782,22,23,4,-17,10,68.07252033,0,0,14,0,0,0,0,0,0,448,0,0,0,0,0,44579.52317,5511.85727,5427.182032,148.3939512,720,144,0.0128,0.9872,0
Trinidad and Tobago,1344235,34,13,8,-6,8,5000,0,100000,30,0,153,118106,0,3000,0,45000,10,0,9,1189,0,317629.1026,39271.98305,38668.67198,1057.306902,5130,750,0,1,0
Tunisia,11116899,31,16,5,-1,5,14889.49873,0,900000,49.63166244,975300,60093,1577963,6754,0,0,12033,0,0,0,462654,0,9619270.444,1189336.313,1171065.278,32020.11703,155360,26489,0.0136,0.9864,0
Turkey,75837020,29,16,6,0,5,4800000,50000,1500000,5500,22050000,5233,4754682,77994,460000,22404,493662,950,102260,235,1354916,264.21,47652414.47,5891792.654,5801280.704,158622.8287,769630,229764,0.0216,0.9784,0
Turkmenistan,5307171,26,19,6,-1,5,50000,0,0,250,1370000,0,110000,6916.67,90000,0,40000,600,0,0,0,0,29096187.95,3597482.065,3542216.184,96853.84651,469930,17754,0,1,0
Tuvalu,10782,24,23,8,-6,3,0,0,898.2073856,0,0,0,0,0,0,0,792,0,0,0,0,0,1857.480132,229.6607196,226.1325847,6.1830813,30,0,0,1,0
Uganda,38844624,15,44,10,0,30,2600000,100000,5000,8500,20000,5534,409400,137.33,150000,70946,115635,950,213300,1579,166,1570,12371436.84,1529616.946,1506118.391,41181.38249,199810,43077,0.0166,0.9834,0
Ukraine,44941303,40,9,15,0,5,28450000,18000000,50000,46250,22793000,4097309,2118,62843.33,100000,3879,84165,250,2264400,1100935,2810,11103,35869179.67,4434901.602,4366770.965,119399.422,579320,324791,0.0066,0.9934,0
United Arab Emirates,9445624,30,15,1,13,5,5000000,0,303000,3,38,29588,944421,0.05,0,0,460000,0,0,934,2007,0,5176177.968,639987.8719,630156.1359,17230.18656,83600,644,0.0069,0.9931,0
United Kingdom of Great Britain and Northern Ireland,63489234,40,12,9,2,2,22280.0995,0,1400000,33.67043706,11921000,2287100,901511,18586.67,0,44911,619998,0,0,1818,778774,0,14979338.94,1852060.596,1823608.54,49862.42863,241930,56121,0.0343,0.9657,0
United Republic of Tanzania,50757459,17,36,8,0,33,5350000,200000,50000,40000,103973,14998,782228,1084.31,1386000,55830,121122,9500,2500,550,374,28.79,54845196.7,6781115.513,6676941.45,182565.7805,885800,145271,0.0053,0.9947,0
United States of America,322583006,37,13,8,2,3,361091000,45500000,635000,336440,57966658,32789893,1999076,188560.7,7068000,3486723,740265,11810,84191928,34318497,389097,298564.1,566371697,70026768.65,68950990.92,1885308.052,9147420,1650062,0.0064,0.526590008,0.467009992
Uruguay,3418694,34,13,9,-1,6,450000,100000,200000,900,1533000,899616,7808,5478,1022000,914554,1507,1830,1830000,1813400,23034,8621,10836539.09,1339840.638,1319257.499,36072.0963,175020,13490,0.0629,0.05165451,0.88544549
Uzbekistan,29324920,27,17,5,-2,6,120000,0,5000,350,6841977,134401,508132,13900.67,135000,0,10000,600,0,0,3766,0,26339068.27,3256589.004,3206560.051,87676.09283,425400,44710,0.00001,0.99999,0
Vanuatu,258301,21,25,4,-1,8,1110.273727,0,8000,15,0,0,0,0,0,0,355379,0,0,0,21,0,754756.0936,93318.80572,91885.2069,2512.392035,12190,200,0.022,0.978,0
Venezuela,30851343,26,19,5,0,5,1300000,0,2600000,4200,443.01,0,1215413,7.15,380000,150000,425000,1400,39000,0,137880,422.15,54613011.68,6752407.923,6648674.877,181792.8954,882050,25138,0.00003,0.99997,0
Viet Nam,92547959,29,16,5,0,8,5625000,400000,2000000,12500,0,0,2421217,0,28250000,6700000,400000,77700,266538,34300,909042,1813.8959,19198295.48,2373696.644,2337231.018,63906.26729,310070,65528,0.0035,0.9965,0
Yemen,24968508,18,31,6,2,0.288,80000,10000,650000,500,232190,1612,2686857,1333.46,0,1886,450000,0,0,0,2,0,32689792.84,4041799.004,3979707.357,108816.0478,527970,15364,0,1,0
Zambia,15021002,16,42,12,0,43,3350000,300000,0,12050,273584,0,16119,388.83,0,110,18465,0,116539,1242,2430,599.88,46027738.51,5690916.078,5603490.07,153214.6936,743390,51777,0.0003,0.9997,0
Zimbabwe,14599325,20,32,10,21,31,1300000,0,500000,13000,25000,61,287766,110,0,770,175713,0,80000,0,3271,560,23952206.3,2961474.979,2915979.679,79730.83336,386850,41000,0.00004,0.99996,0
